Sieving up to 2000000...
Sieve done. Scanning composite gaps...
New max gap: n=3, k=1
New max gap: n=7, k=3
New max gap: n=23, k=5
New max gap: n=89, k=7
New max gap: n=113, k=13
New max gap: n=523, k=17
New max gap: n=887, k=19
New max gap: n=1129, k=21
New max gap: n=1327, k=33
New max gap: n=9551, k=35
New max gap: n=15683, k=43
New max gap: n=19609, k=51
New max gap: n=31397, k=71
New max gap: n=155921, k=85
New max gap: n=360653, k=95
New max gap: n=370261, k=111
New max gap: n=492113, k=113
New max gap: n=1349533, k=117
New max gap: n=1357201, k=131

Limit=2000000, total_gaps=148932, max_gap_k=131
Large gaps (k>=50): 1676
  n=19609, k=51
  n=25471, k=51
  n=31397, k=71
  n=34061, k=61
  n=35617, k=53
  n=35677, k=51
  n=40289, k=53
  n=40639, k=53
  n=43331, k=59
  n=43801, k=51
  n=44293, k=57
  n=48679, k=51
  n=58831, k=57
  n=59281, k=51
  n=74959, k=51
  n=79699, k=57
  n=82073, k=55
  n=85933, k=57
  n=86869, k=53
  n=89689, k=63
  n=100853, k=53
  n=102701, k=59
  n=103237, k=51
  n=106033, k=53
  n=107377, k=63
  n=107509, k=53
  n=110359, k=59
  n=114493, k=53
  n=117443, k=53
  n=118973, k=53
  n=121789, k=53
  n=124367, k=59
  n=126859, k=53
  n=130873, k=53
  n=132763, k=53
  n=134513, k=67
  n=142993, k=59
  n=149629, k=59
  n=152311, k=51
  n=153001, k=57
  n=153191, k=55
  n=153763, k=53
  n=155921, k=85
  n=156157, k=59
  n=159233, k=53
  n=160253, k=55
  n=162143, k=65
  n=166487, k=53
  n=167809, k=51
  n=171947, k=53
  n=173359, k=69
  n=175141, k=69
  n=178697, k=55
  n=181303, k=57
  n=186481, k=69
  n=188029, k=77
  n=188197, k=51
  n=189067, k=59
  n=190409, k=61
  n=190921, k=57
  n=191353, k=59
  n=195599, k=59
  n=200513, k=55
  n=202129, k=53
  n=203057, k=59
  n=203461, k=69
  n=204173, k=59
  n=206827, k=51
  n=212297, k=55
  n=212701, k=75
  n=213659, k=53
  n=214993, k=57
  n=218287, k=69
  n=220063, k=59
  n=221101, k=57
  n=221327, k=65
  n=223151, k=55
  n=223849, k=53
  n=227303, k=59
  n=227893, k=53
  n=231719, k=59
  n=233777, k=59
  n=236813, k=53
  n=237409, k=57
  n=243709, k=59
  n=248909, k=61
  n=250199, k=53
  n=253159, k=69
  n=255259, k=53
  n=256219, k=59
  n=257731, k=51
  n=259033, k=65
  n=261169, k=53
  n=265621, k=81
  n=268343, k=59
  n=269791, k=59
  n=273367, k=65
  n=277099, k=57
  n=277429, k=53
  n=281431, k=77
  n=282167, k=53
  n=282493, k=65
  n=282713, k=53
  n=283211, k=55
  n=283303, k=65
  n=285871, k=65
  n=286873, k=53
  n=288583, k=63
  n=290249, k=67
  n=293543, k=55
  n=294563, k=65
  n=295459, k=53
  n=295601, k=61
  n=296377, k=59
  n=296843, k=65
  n=298099, k=53
  n=302053, k=57
  n=302329, k=69
  n=305147, k=61
  n=305663, k=53
  n=306589, k=53
  n=307759, k=57
  n=308153, k=59
  n=311041, k=57
  n=311473, k=59
  n=311897, k=53
  n=313409, k=61
  n=315127, k=51
  n=318023, k=53
  n=320953, k=53
  n=323149, k=51
  n=323273, k=59
  n=326257, k=51
  n=326369, k=67
  n=326779, k=51
  n=327347, k=53
  n=329803, k=59
  n=332317, k=75
  n=338033, k=85
  n=341357, k=65
  n=343831, k=59
  n=348097, k=51
  n=350293, k=53
  n=354479, k=53
  n=355969, k=53
  n=357913, k=53
  n=359783, k=53
  n=359929, k=51
  n=360091, k=71
  n=360337, k=53
  n=360653, k=95
  n=361577, k=59
  n=363067, k=51
  n=365851, k=51
  n=366733, k=53
  n=367957, k=63
  n=369581, k=55
  n=370261, k=111
  n=370949, k=77
  n=372539, k=67
  n=373393, k=53
  n=377393, k=65
  n=377911, k=51
  n=379207, k=65
  n=381103, k=63
  n=381859, k=51
  n=387857, k=53
  n=388403, k=55
  n=389303, k=53
  n=390581, k=65
  n=390893, k=59
  n=395323, k=53
  n=396733, k=99
  n=399283, k=69
  n=399793, k=57
  n=400759, k=63
  n=401417, k=55
  n=402139, k=57
  n=402631, k=59
  n=404597, k=73
  n=404713, k=59
  n=404851, k=89
  n=405091, k=51
  n=413299, k=53
  n=413353, k=57
  n=416887, k=59
  n=417037, k=51
  n=419087, k=53
  n=420613, k=57
  n=422479, k=57
  n=425713, k=65
  n=427621, k=59
  n=428899, k=51
  n=430193, k=65
  n=432661, k=51
  n=437413, k=53
  n=439009, k=53
  n=440581, k=59
  n=442633, k=57
