Computing sieve up to 500000...

All cases where F(n)-n <= 5 (up to 500000):
  n=5, F(n)=6, F(n)-n=1
  n=6, F(n)=6, F(n)-n=0
  n=7, F(n)=8, F(n)-n=1
  n=8, F(n)=8, F(n)-n=0
  n=9, F(n)=10, F(n)-n=1
  n=10, F(n)=12, F(n)-n=2
  n=11, F(n)=12, F(n)-n=1
  n=12, F(n)=12, F(n)-n=0
  n=13, F(n)=14, F(n)-n=1
  n=14, F(n)=14, F(n)-n=0
  n=15, F(n)=16, F(n)-n=1
  n=16, F(n)=18, F(n)-n=2
  n=17, F(n)=18, F(n)-n=1
  n=18, F(n)=18, F(n)-n=0
  n=19, F(n)=20, F(n)-n=1
  n=20, F(n)=20, F(n)-n=0
  n=21, F(n)=22, F(n)-n=1
  n=22, F(n)=24, F(n)-n=2
  n=23, F(n)=24, F(n)-n=1
  n=24, F(n)=24, F(n)-n=0
  n=25, F(n)=26, F(n)-n=1
  n=26, F(n)=30, F(n)-n=4
  n=27, F(n)=30, F(n)-n=3
  n=28, F(n)=30, F(n)-n=2
  n=29, F(n)=30, F(n)-n=1
  n=30, F(n)=30, F(n)-n=0
  n=31, F(n)=32, F(n)-n=1
  n=32, F(n)=32, F(n)-n=0
  n=33, F(n)=34, F(n)-n=1
  n=34, F(n)=36, F(n)-n=2
  n=35, F(n)=36, F(n)-n=1
  n=36, F(n)=40, F(n)-n=4
  n=37, F(n)=40, F(n)-n=3
  n=38, F(n)=40, F(n)-n=2
  n=39, F(n)=40, F(n)-n=1
  n=40, F(n)=42, F(n)-n=2
  n=41, F(n)=42, F(n)-n=1
  n=42, F(n)=42, F(n)-n=0
  n=43, F(n)=44, F(n)-n=1
  n=44, F(n)=44, F(n)-n=0
  n=45, F(n)=46, F(n)-n=1
  n=46, F(n)=48, F(n)-n=2
  n=47, F(n)=48, F(n)-n=1
  n=48, F(n)=48, F(n)-n=0
  n=49, F(n)=50, F(n)-n=1
  n=51, F(n)=56, F(n)-n=5
  n=52, F(n)=56, F(n)-n=4
  n=53, F(n)=56, F(n)-n=3
  n=54, F(n)=56, F(n)-n=2
  n=55, F(n)=56, F(n)-n=1
  n=56, F(n)=60, F(n)-n=4
  n=57, F(n)=60, F(n)-n=3
  n=58, F(n)=60, F(n)-n=2
  n=59, F(n)=60, F(n)-n=1
  n=60, F(n)=60, F(n)-n=0
  n=61, F(n)=62, F(n)-n=1
  n=62, F(n)=62, F(n)-n=0
  n=63, F(n)=64, F(n)-n=1
  n=64, F(n)=66, F(n)-n=2
  n=65, F(n)=66, F(n)-n=1
  n=66, F(n)=70, F(n)-n=4
  n=67, F(n)=70, F(n)-n=3
  n=68, F(n)=70, F(n)-n=2
  n=69, F(n)=70, F(n)-n=1
  n=70, F(n)=72, F(n)-n=2
  n=71, F(n)=72, F(n)-n=1
  n=72, F(n)=72, F(n)-n=0
  n=73, F(n)=74, F(n)-n=1
  n=74, F(n)=74, F(n)-n=0
  n=75, F(n)=76, F(n)-n=1
  n=76, F(n)=78, F(n)-n=2
  n=77, F(n)=78, F(n)-n=1
