Checked n from 25 to 100000
Number of candidates found: 0
No candidates found in this range.

Sample of running_max vs n+2 (every 1000 steps):
n=1000, running_max=1014, n+2=1002, excess=12
n=2000, running_max=2016, n+2=2002, excess=14
n=3000, running_max=3012, n+2=3002, excess=10
n=4000, running_max=4022, n+2=4002, excess=20
n=5000, running_max=5024, n+2=5002, excess=22
n=6000, running_max=6014, n+2=6002, excess=12
n=7000, running_max=7020, n+2=7002, excess=18
n=8000, running_max=8028, n+2=8002, excess=26
n=9000, running_max=9016, n+2=9002, excess=14
n=10000, running_max=10032, n+2=10002, excess=30
n=11000, running_max=11022, n+2=11002, excess=20
n=12000, running_max=12018, n+2=12002, excess=16
n=13000, running_max=13023, n+2=13002, excess=21
n=14000, running_max=14024, n+2=14002, excess=22
n=15000, running_max=15030, n+2=15002, excess=28
n=16000, running_max=16024, n+2=16002, excess=22
n=17000, running_max=17028, n+2=17002, excess=26
n=18000, running_max=18008, n+2=18002, excess=6
n=19000, running_max=19016, n+2=19002, excess=14
n=20000, running_max=20040, n+2=20002, excess=38
n=21000, running_max=21024, n+2=21002, excess=22
n=22000, running_max=22032, n+2=22002, excess=30
n=23000, running_max=23019, n+2=23002, excess=17
n=24000, running_max=24018, n+2=24002, excess=16
n=25000, running_max=25038, n+2=25002, excess=36
n=26000, running_max=26028, n+2=26002, excess=26
n=27000, running_max=27012, n+2=27002, excess=10
n=28000, running_max=28024, n+2=28002, excess=22
n=29000, running_max=29052, n+2=29002, excess=50
n=30000, running_max=30042, n+2=30002, excess=40
n=31000, running_max=31044, n+2=31002, excess=42
n=32000, running_max=32028, n+2=32002, excess=26
n=33000, running_max=33026, n+2=33002, excess=24
n=34000, running_max=34026, n+2=34002, excess=24
n=35000, running_max=35032, n+2=35002, excess=30
n=36000, running_max=36010, n+2=36002, excess=8
n=37000, running_max=37056, n+2=37002, excess=54
n=38000, running_max=38020, n+2=38002, excess=18
n=39000, running_max=39032, n+2=39002, excess=30
n=40000, running_max=40044, n+2=40002, excess=42
n=41000, running_max=41040, n+2=41002, excess=38
n=42000, running_max=42024, n+2=42002, excess=22
n=43000, running_max=43016, n+2=43002, excess=14
n=44000, running_max=44040, n+2=44002, excess=38
n=45000, running_max=45030, n+2=45002, excess=28
n=46000, running_max=46038, n+2=46002, excess=36
n=47000, running_max=47040, n+2=47002, excess=38
n=48000, running_max=48024, n+2=48002, excess=22
n=49000, running_max=49044, n+2=49002, excess=42
n=50000, running_max=50052, n+2=50002, excess=50
n=51000, running_max=51024, n+2=51002, excess=22
n=52000, running_max=52029, n+2=52002, excess=27
n=53000, running_max=53046, n+2=53002, excess=44
n=54000, running_max=54022, n+2=54002, excess=20
n=55000, running_max=55038, n+2=55002, excess=36
n=56000, running_max=56030, n+2=56002, excess=28
n=57000, running_max=57028, n+2=57002, excess=26
n=58000, running_max=58056, n+2=58002, excess=54
n=59000, running_max=59048, n+2=59002, excess=46
n=60000, running_max=60048, n+2=60002, excess=46
n=61000, running_max=61056, n+2=61002, excess=54
n=62000, running_max=62056, n+2=62002, excess=54
n=63000, running_max=63017, n+2=63002, excess=15
n=64000, running_max=64030, n+2=64002, excess=28
n=65000, running_max=65034, n+2=65002, excess=32
n=66000, running_max=66036, n+2=66002, excess=34
n=67000, running_max=67054, n+2=67002, excess=52
n=68000, running_max=68028, n+2=68002, excess=26
n=69000, running_max=69040, n+2=69002, excess=38
n=70000, running_max=70032, n+2=70002, excess=30
n=71000, running_max=71052, n+2=71002, excess=50
n=72000, running_max=72019, n+2=72002, excess=17
n=73000, running_max=73044, n+2=73002, excess=42
n=74000, running_max=74032, n+2=74002, excess=30
n=75000, running_max=75042, n+2=75002, excess=40
n=76000, running_max=76024, n+2=76002, excess=22
n=77000, running_max=77034, n+2=77002, excess=32
n=78000, running_max=78024, n+2=78002, excess=22
n=79000, running_max=79040, n+2=79002, excess=38
n=80000, runnin
